"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"hg19-MT2A",0,3.78975100673723,0.992,0.557,0,"0","hg19-MT2A"
"hg19-TGFBI",0,3.66952841300317,0.997,0.524,0,"0","hg19-TGFBI"
"hg19-IGFBP3",0,3.00179828154179,0.98,0.578,0,"0","hg19-IGFBP3"
"hg19-CLDN11",0,2.89937265841512,0.945,0.384,0,"0","hg19-CLDN11"
"hg19-C12orf75",0,2.84772549497365,0.994,0.582,0,"0","hg19-C12orf75"
"hg19-GREM1",0,2.82005111513773,0.932,0.017,0,"0","hg19-GREM1"
"hg19-SERPINE1",0,2.56570469470185,0.869,0.094,0,"0","hg19-SERPINE1"
"hg19-TPM1",0,2.49656808938673,0.996,0.782,0,"0","hg19-TPM1"
"hg19-THBS1",0,2.47771543890574,0.976,0.542,0,"0","hg19-THBS1"
"hg19-MIR4435-1HG",0,2.43120717833798,0.976,0.502,0,"0","hg19-MIR4435-1HG"
"hg19-KIAA1199",0,2.27778719914849,0.737,0.017,0,"0","hg19-KIAA1199"
"hg19-CTGF",0,2.27283576681684,0.91,0.271,0,"0","hg19-CTGF"
"hg19-POSTN",0,2.19561497471344,0.903,0.353,0,"0","hg19-POSTN"
"hg19-SERPINE2",0,2.14620868698147,0.697,0.32,0,"0","hg19-SERPINE2"
"hg19-TUBA1B",0,2.14301248217004,0.869,0.694,0,"0","hg19-TUBA1B"
"hg19-LOX",0,2.09608607452893,0.961,0.518,0,"0","hg19-LOX"
"hg19-KRT18",0,2.09133128807637,0.844,0.186,0,"0","hg19-KRT18"
"hg19-CCND1",0,2.06553295704385,0.903,0.53,0,"0","hg19-CCND1"
"hg19-ID3",0,2.05435039669387,0.846,0.143,0,"0","hg19-ID3"
"hg19-COL1A1",0,1.99747232160138,0.997,0.988,0,"0","hg19-COL1A1"
"hg19-TAGLN",0,1.86237749431674,0.995,0.804,0,"0","hg19-TAGLN"
"hg19-AXL",0,1.81870447691665,0.909,0.434,0,"0","hg19-AXL"
"hg19-KRT7",0,1.73567053194487,0.873,0.26,0,"0","hg19-KRT7"
"hg19-IER3",0,1.71299838914487,0.769,0.065,0,"0","hg19-IER3"
"hg19-COTL1",0,1.69880635748263,0.964,0.742,0,"0","hg19-COTL1"
"hg19-HMGA1",0,1.67357210258645,0.925,0.748,0,"0","hg19-HMGA1"
"hg19-DAB2",0,1.65494907488272,0.917,0.573,0,"0","hg19-DAB2"
"hg19-ARPC1B",0,1.57646110079005,0.946,0.662,0,"0","hg19-ARPC1B"
"hg19-TNFRSF12A",0,1.57384167875062,0.778,0.085,0,"0","hg19-TNFRSF12A"
"hg19-LOXL2",0,1.56530993918638,0.878,0.628,0,"0","hg19-LOXL2"
"hg19-SULF1",0,1.55924601095396,0.739,0.052,0,"0","hg19-SULF1"
"hg19-STC2",0,1.53405145500018,0.69,0.085,0,"0","hg19-STC2"
"hg19-SH3BGRL3",0,1.52719679609739,0.998,0.994,0,"0","hg19-SH3BGRL3"
"hg19-LINC00152",0,1.51107276058357,0.881,0.44,0,"0","hg19-LINC00152"
"hg19-IGFBP6",0,1.44298329453488,0.89,0.337,0,"0","hg19-IGFBP6"
"hg19-S100A16",0,1.42700499032239,0.941,0.789,0,"0","hg19-S100A16"
"hg19-INHBA",0,1.41970572368486,0.698,0.086,0,"0","hg19-INHBA"
"hg19-FHL2",0,1.41638772313994,0.826,0.223,0,"0","hg19-FHL2"
"hg19-SEPW1",0,1.38569191415773,0.875,0.627,0,"0","hg19-SEPW1"
"hg19-HES1",0,1.37984655492605,0.584,0.039,0,"0","hg19-HES1"
"hg19-TIMP1",0,1.34893942479493,0.961,0.876,0,"0","hg19-TIMP1"
"hg19-HMGN2",0,1.34389273663934,0.912,0.847,0,"0","hg19-HMGN2"
"hg19-CCL2",0,1.33645908081043,0.51,0.048,0,"0","hg19-CCL2"
"hg19-EXT1",0,1.32368471383241,0.772,0.246,0,"0","hg19-EXT1"
"hg19-MYH9",0,1.32290947588707,0.894,0.689,0,"0","hg19-MYH9"
"hg19-ACTG1",0,1.31068849460492,0.999,0.991,0,"0","hg19-ACTG1"
"hg19-CYR61",0,1.30165693018214,0.909,0.643,0,"0","hg19-CYR61"
"hg19-CSRP1",0,1.28595428404099,0.766,0.269,0,"0","hg19-CSRP1"
"hg19-PKM",0,1.28558261107026,0.944,0.822,0,"0","hg19-PKM"
"hg19-LMO7",0,1.28098639544606,0.735,0.141,0,"0","hg19-LMO7"
"hg19-TNFRSF11B",0,1.27380369590404,0.649,0.049,0,"0","hg19-TNFRSF11B"
"hg19-FRMD6",0,1.25968107468441,0.704,0.17,0,"0","hg19-FRMD6"
"hg19-KTN1",0,1.25811699515412,0.945,0.814,0,"0","hg19-KTN1"
"hg19-MT1E",0,1.24821474264104,0.825,0.727,0,"0","hg19-MT1E"
