"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mm10-Hmga2",0,2.26466757391813,0.992,0.453,0,"0","mm10-Hmga2"
"mm10-Tuba1b",0,1.82401378099083,0.998,0.923,0,"0","mm10-Tuba1b"
"mm10-Rpl12",0,1.57239097883233,1,0.999,0,"0","mm10-Rpl12"
"mm10-Anxa3",0,1.47971065314193,0.911,0.253,0,"0","mm10-Anxa3"
"mm10-Tnfrsf12a",0,1.44546126571811,0.987,0.609,0,"0","mm10-Tnfrsf12a"
"mm10-Tmsb4x",0,1.34469987369833,1,0.91,0,"0","mm10-Tmsb4x"
"mm10-Hsp90aa1",0,1.32715114326381,0.98,0.773,0,"0","mm10-Hsp90aa1"
"mm10-Rps12",0,1.31558575130164,1,0.999,0,"0","mm10-Rps12"
"mm10-Cenpa",0,1.31178831014342,0.837,0.212,0,"0","mm10-Cenpa"
"mm10-Birc5",0,1.30458817722653,0.888,0.269,0,"0","mm10-Birc5"
"mm10-Ppp1r14b",0,1.28821302395067,1,0.932,0,"0","mm10-Ppp1r14b"
"mm10-Gsto1",0,1.2874998212535,0.942,0.561,0,"0","mm10-Gsto1"
"mm10-Ncl",0,1.27674740636066,0.987,0.794,0,"0","mm10-Ncl"
"mm10-Hdgf",0,1.27299408869154,0.997,0.851,0,"0","mm10-Hdgf"
"mm10-Ccnd1",0,1.26116025125363,0.95,0.464,0,"0","mm10-Ccnd1"
"mm10-Ube2s",0,1.22299390197084,0.976,0.756,0,"0","mm10-Ube2s"
"mm10-Tuba1a",0,1.21058445131275,0.989,0.82,0,"0","mm10-Tuba1a"
"mm10-Zyx",0,1.18768891734443,0.966,0.63,0,"0","mm10-Zyx"
"mm10-Timp1",0,1.15233544326271,0.97,0.661,0,"0","mm10-Timp1"
"mm10-Txn1",0,1.14678099905558,1,0.956,0,"0","mm10-Txn1"
"mm10-Tnnt2",0,1.13246981242403,0.759,0.02,0,"0","mm10-Tnnt2"
"mm10-Tpm1",0,1.08806889669827,0.993,0.82,0,"0","mm10-Tpm1"
"mm10-Lce1g",0,1.08132601144929,0.507,0.007,0,"0","mm10-Lce1g"
"mm10-S100a6",0,1.0769264550866,1,0.993,0,"0","mm10-S100a6"
"mm10-Npm1",0,1.07413947016031,1,0.993,0,"0","mm10-Npm1"
"mm10-Odc1",0,1.07281197192548,0.927,0.526,0,"0","mm10-Odc1"
"mm10-Ptma",0,1.06618963364446,1,0.993,0,"0","mm10-Ptma"
